drug,disease,case_type,expected_quality,priority,narrative
dexamethasone,covid-19,successful_repurposing,High evidence quality,1,RECOVERY trial demonstrated 28-day mortality reduction in ventilated patients. Benchmark successful repurposing: strong RCT evidence with auditable safety stratification.
hydroxychloroquine,covid-19,failed_repurposing,Safety-conflicted evidence,1,SOLIDARITY/RECOVERY showed no benefit; cardiac arrhythmia concerns raised. Demonstrates how high literature volume with safety conflict produces misleading repurposing signal.
ivermectin,covid-19,weak_evidence_high_attention,Literature noise dominated,1,TOGETHER/ACTIV-6/PRINCIPLE found no meaningful benefit despite massive attention. Key thesis illustration: literature volume does not equal evidence quality.
colchicine,coronary artery disease,successful_repurposing,High evidence quality,1,COLCOT/LoDoCo2 trials showed post-MI event reduction. FDA-approved 2023 for CV risk reduction. Model of evidence-maturity-supported repurposing.
colchicine,myocardial infarction,emerging_repurposing,Moderate evidence quality,1,Post-MI anti-inflammatory repurposing with cardiovascular outcome evidence from COLCOT trial.
colchicine,heart failure,safety_conflicted,Safety-concerning,2,Cardiovascular hypothesis with potential safety and tolerability concerns; evidence mixed.
colchicine,atherosclerosis,emerging_repurposing,Moderate evidence quality,2,Mechanistically plausible inflammatory vascular disease candidate with NLRP3 inhibition rationale.
metformin,chronic kidney disease,emerging_repurposing,Moderate evidence quality,1,Mixed evidence and safety considerations for diabetic nephropathy; surveillance recommended.
metformin,uterine cervical dysplasia,novel_hypothesis,Insufficient evidence,1,mTOR/AMPK mechanistic hypothesis; limited clinical evidence. Framework identifies as not-yet-evidence-ready.
metformin,mitochondrial diseases,novel_hypothesis,Insufficient evidence,1,AMPK activation and mitophagy induction proposed; small case series only. Network proximity surfaces plausible but sparse candidate.
metformin,colorectal cancer,emerging_repurposing,Moderate evidence quality,2,Epidemiological and mechanistic evidence for colorectal cancer risk reduction; ongoing trials.
metformin,endometrial cancer,emerging_repurposing,Moderate evidence quality,2,Anti-proliferative evidence in endometrial cancer; clinical trials underway.
metformin,non-alcoholic fatty liver disease,emerging_repurposing,Moderate evidence quality,2,Insulin-sensitising rationale; evidence mixed for NASH endpoint but mechanistically supported.
metformin,mania,novel_hypothesis,Insufficient evidence,3,Nontraditional psychiatric hypothesis; tests framework robustness to out-of-distribution disease.
